iter	RMSE
0	0.3438672087
1	0.3371412078
2	0.3306357332
3	0.3246414068
4	0.3186450918
5	0.3125359959
6	0.3050930209
7	0.298115894
8	0.2926147123
9	0.2870564742
10	0.281547029
11	0.2768387547
12	0.271963033
13	0.2668314094
14	0.2620274093
15	0.2580673899
16	0.254094645
17	0.2493159992
18	0.2449823123
19	0.2410955188
20	0.2361460288
21	0.2317873759
22	0.2284899807
23	0.2241879633
24	0.2198973266
25	0.2168551817
26	0.2133437018
27	0.2095305891
28	0.2054110204
29	0.2018802152
30	0.197326391
31	0.1946236185
32	0.1916594686
33	0.1881277995
34	0.1854007433
35	0.1822870371
36	0.1792999969
37	0.1766026689
38	0.1735543011
39	0.1708648933
40	0.1683922824
41	0.165856988
42	0.1633791517
43	0.1610029544
44	0.1584520397
45	0.1557504683
46	0.1533197695
47	0.1513189249
48	0.1489465501
49	0.1470707175
50	0.1449210764
51	0.1425526633
52	0.1405180188
53	0.1383452009
54	0.1363409334
55	0.1342945252
56	0.1324658674
57	0.1307947526
58	0.1289105885
59	0.1271657492
60	0.1256420547
61	0.1236658004
62	0.1216073165
63	0.1197863567
64	0.1182533765
65	0.1164192147
66	0.114384794
67	0.1132385724
68	0.1118334602
69	0.1101942615
70	0.1085475364
71	0.1074633001
72	0.1060121169
73	0.1043256638
74	0.1029395771
75	0.1019081157
76	0.1009553038
77	0.09963396439
78	0.09831595791
79	0.09694382719
80	0.09599187193
81	0.09471426562
82	0.09366942964
83	0.09239756154
84	0.09128208707
85	0.09018430766
86	0.08899656412
87	0.08768810402
88	0.0864808075
89	0.08559073572
90	0.08441035804
91	0.0834506282
92	0.08243263526
93	0.08135666552
94	0.08034454537
95	0.07930275068
96	0.07841281707
97	0.07747238789
98	0.07660394875
99	0.07570086409
