iter	Passed	Remaining
0	47	4719
1	48	2367
2	48	1583
3	49	1190
4	50	954
5	50	795
6	51	683
7	52	598
8	52	532
9	53	479
10	53	436
11	54	400
12	55	369
13	55	343
14	56	319
15	57	299
16	57	281
17	58	265
18	58	251
19	59	238
20	60	226
21	60	215
22	61	205
23	62	196
24	62	187
25	63	179
26	63	172
27	64	165
28	65	159
29	65	153
30	66	147
31	66	142
32	67	137
33	68	132
34	68	127
35	69	123
36	70	119
37	70	115
38	71	111
39	72	108
40	72	104
41	73	101
42	74	98
43	74	95
44	75	92
45	75	89
46	76	86
47	77	83
48	77	81
49	78	78
50	79	76
51	79	73
52	80	71
53	81	69
54	81	66
55	82	64
56	82	62
57	83	60
58	84	58
59	84	56
60	85	54
61	86	52
62	86	50
63	87	49
64	88	47
65	88	45
66	89	43
67	89	42
68	90	40
69	91	39
70	91	37
71	92	35
72	93	34
73	93	32
74	94	31
75	95	30
76	95	28
77	96	27
78	96	25
79	97	24
80	98	23
81	98	21
82	99	20
83	100	19
84	100	17
85	101	16
86	102	15
87	102	14
88	103	12
89	103	11
90	104	10
91	105	9
92	105	7
93	106	6
94	107	5
95	107	4
96	108	3
97	109	2
98	109	1
99	110	0
